Train Years,Test Season,RF Acc. %,Train. Time (msec.),Predict. Time (msec.)
2001-2002,2002-2003,81.25,84.27,12.87
2001-2003,2003-2004,75.0,58.29,2.2
2001-2004,2004-2005,75.0,36.83,2.3
2001-2005,2005-2006,68.75,33.54,2.39
2001-2006,2006-2007,68.75,36.68,2.14
2001-2007,2007-2008,75.0,38.49,2.16
2001-2008,2008-2009,75.0,44.5,2.63
2001-2009,2009-2010,68.75,46.8,2.39
2001-2010,2010-2011,81.25,39.76,2.16
2001-2011,2011-2012,81.25,43.77,2.47
2001-2012,2012-2013,81.25,44.3,2.41
2001-2013,2013-2014,68.75,63.45,3.85
2001-2014,2014-2015,75.0,79.16,3.95
2001-2015,2015-2016,75.0,76.86,4.11
