Test Season,$\ell_1$ (usec.),$\ell_2$ (usec.),$un-norm.$ (usec.)
2002-2003,629.9018859863281,341.8922424316406,262.97569274902344
2003-2004,453.2337188720703,295.1622009277344,273.9429473876953
2004-2005,344.99168395996094,298.9768981933594,339.9848937988281
2005-2006,429.6302795410156,320.9114074707031,319.0040588378906
2006-2007,442.9817199707031,875.9498596191406,676.8703460693359
2007-2008,986.0992431640625,602.0069122314453,593.1854248046875
2008-2009,537.872314453125,527.8587341308594,440.1206970214844
2009-2010,684.0229034423828,504.7321319580078,485.1818084716797
2010-2011,1072.8836059570312,719.0704345703125,923.8719940185547
2011-2012,560.0452423095703,850.9159088134766,884.0560913085938
2012-2013,1152.9922485351562,604.1526794433594,622.9877471923828
2013-2014,797.271728515625,622.2724914550781,673.0556488037109
2014-2015,927.9251098632812,655.8895111083984,649.2137908935547
2015-2016,922.9183197021484,786.7813110351562,715.9709930419922
