Test Season,$linear$ (msec.),$rbf$ (msec.),$poly$ (msec.),$sigmoid$ (msec.)
2002-2003,4.102945327758789,0.5037784576416016,0.3421306610107422,0.2961158752441406
2003-2004,15876.517057418823,0.5738735198974609,0.40721893310546875,0.3781318664550781
2004-2005,10916.02611541748,0.6871223449707031,0.45490264892578125,0.5211830139160156
2005-2006,20802.619695663452,0.9310245513916016,0.9458065032958984,0.6761550903320312
2006-2007,22394.34814453125,1.9478797912597656,2.7511119842529297,0.8568763732910156
2007-2008,47044.54708099365,5.613088607788086,5.713224411010742,1.2350082397460938
2008-2009,42753.95321846008,6.929874420166016,11.598825454711914,2.0360946655273438
2009-2010,52956.76398277283,9.286165237426758,39.67905044555664,2.2308826446533203
2010-2011,118643.17417144775,12.699127197265625,41.81790351867676,2.2509098052978516
2011-2012,90714.62917327881,13.255834579467773,125.10490417480469,2.7756690979003906
2012-2013,111538.15770149231,20.359277725219727,884.0408325195312,4.200935363769531
2013-2014,115612.80703544617,29.1140079498291,1605.3292751312256,3.898143768310547
2014-2015,99495.0680732727,30.690908432006836,8928.164005279541,4.5680999755859375
2015-2016,104258.71515274048,33.42008590698242,15540.579080581665,5.889892578125
